Size,Gflops,Diff
4,1.280000e-01,0.000000e+00
8,1.024000e+00,0.000000e+00
16,4.096000e+00,0.000000e+00
32,8.192000e+00,0.000000e+00
64,7.825194e+00,0.000000e+00
128,8.612534e+00,0.000000e+00
256,7.355202e+00,0.000000e+00
512,4.551065e+00,0.000000e+00
1024,3.981799e+00,0.000000e+00
2048,4.582618e+00,0.000000e+00
4096,4.492765e+00,0.000000e+00
