Size,Gflops,Diff
40,8.000000e+00,1.159528e+09
80,8.062992e+00,1.157890e+09
120,8.074766e+00,1.151664e+09
160,7.968872e+00,1.149698e+09
200,8.028098e+00,1.147077e+09
240,7.631245e+00,1.145766e+09
280,7.664804e+00,1.142161e+09
320,7.509568e+00,1.140523e+09
360,7.530019e+00,1.139147e+09
400,7.432786e+00,1.137574e+09
440,7.685659e+00,1.135936e+09
480,7.656870e+00,1.134297e+09
520,7.575658e+00,1.132659e+09
560,7.651446e+00,1.131020e+09
600,7.695596e+00,1.129382e+09
640,7.612277e+00,1.127744e+09
680,7.640282e+00,1.126105e+09
720,7.642339e+00,1.124729e+09
760,7.400135e+00,1.123156e+09
800,6.987186e+00,1.121518e+09
