Size,Gflops,Diff
40,6.736842e+00,1.012072e+09
80,8.126984e+00,1.006174e+09
120,8.037209e+00,1.003880e+09
160,7.764929e+00,1.001587e+09
200,7.393715e+00,1.000276e+09
240,7.335633e+00,9.989653e+08
280,7.069887e+00,9.953608e+08
320,6.982314e+00,9.937224e+08
360,7.144870e+00,9.923461e+08
400,7.043416e+00,9.907733e+08
440,7.051948e+00,9.891349e+08
480,7.073361e+00,9.874965e+08
520,6.969245e+00,9.858581e+08
560,7.072165e+00,9.842197e+08
600,6.885889e+00,9.825813e+08
640,6.534650e+00,9.809429e+08
680,6.423403e+00,9.793045e+08
720,6.323504e+00,9.779282e+08
760,5.467994e+00,9.763553e+08
800,4.990618e+00,9.747169e+08
