Size,Gflops,Diff
4,inf,3.582426e+07
8,2.048000e-01,3.582646e+07
16,1.905116e-01,3.584461e+07
32,1.921877e-01,3.597918e+07
64,2.709499e-01,3.694976e+07
128,3.464935e-01,6.856786e+08
256,4.157201e-01,6.784574e+08
512,4.734169e-01,6.668903e+08
1024,5.332631e-01,6.291169e+08
