Size,Gflops,Diff
4,1.280000e-01,0.000000e+00
8,1.024000e+00,0.000000e+00
16,8.192000e+00,0.000000e+00
32,9.362286e+00,0.000000e+00
64,9.362286e+00,0.000000e+00
128,8.905104e+00,0.000000e+00
256,5.310926e+00,0.000000e+00
512,4.876123e+00,0.000000e+00
1024,3.057682e+00,0.000000e+00
2048,1.494298e+00,0.000000e+00
4096,1.035304e+00,0.000000e+00
