Size,Gflops,Diff
4,1.280000e-01,0.000000e+00
8,5.120000e-01,0.000000e+00
16,2.048000e+00,0.000000e+00
32,2.114065e+00,0.000000e+00
64,2.072285e+00,0.000000e+00
128,2.058049e+00,0.000000e+00
256,1.079650e+00,0.000000e+00
512,7.683151e-01,0.000000e+00
1024,7.049709e-01,0.000000e+00
2048,3.638998e-01,0.000000e+00
4096,2.386472e-01,0.000000e+00
