Size,Gflops,Diff
40,6.736842e+00,4.561304e+07
80,7.013699e+00,5.144574e+07
120,6.884462e+00,5.308414e+07
160,6.770248e+00,5.537790e+07
200,6.504065e+00,5.668862e+07
240,6.576594e+00,5.799934e+07
280,6.059903e+00,6.160382e+07
320,6.014684e+00,6.324222e+07
360,3.735319e+00,6.461848e+07
400,5.747384e+00,6.619134e+07
440,5.556143e+00,6.782974e+07
480,5.511000e+00,6.946814e+07
520,5.517176e+00,7.110654e+07
560,5.596877e+00,7.274494e+07
600,5.311693e+00,7.438334e+07
640,5.202250e+00,7.602174e+07
680,5.198641e+00,7.766014e+07
720,5.085019e+00,7.903640e+07
760,4.710700e+00,8.060926e+07
800,4.220766e+00,8.224766e+07
