Size,Gflops,Diff
4,1.280000e-01,0.000000e+00
8,5.120000e-01,0.000000e+00
16,1.244985e-02,0.000000e+00
32,1.391423e-01,0.000000e+00
64,6.661855e-01,0.000000e+00
128,1.914333e+00,0.000000e+00
256,3.227008e+00,0.000000e+00
512,4.253791e+00,0.000000e+00
1024,5.622966e+00,0.000000e+00
2048,7.446960e+00,0.000000e+00
4096,7.512844e+00,0.000000e+00
