Size,Gflops,Diff
4,1.280000e-01,0.000000e+00
8,1.024000e+00,0.000000e+00
16,4.096000e+00,0.000000e+00
32,5.957818e+00,0.000000e+00
64,6.898526e+00,0.000000e+00
128,7.410431e+00,0.000000e+00
256,8.555439e+00,0.000000e+00
512,8.486736e+00,0.000000e+00
1024,8.823583e+00,0.000000e+00
2048,7.977165e+00,0.000000e+00
4096,7.640901e+00,0.000000e+00
