Size,Gflops,Diff
4,inf,1.169880e+07
8,1.280000e-01,1.170512e+07
16,2.730667e-01,1.171458e+07
32,3.048186e-01,1.176480e+07
64,2.983995e-01,1.192477e+07
128,3.531748e-01,1.704530e+09
256,4.215964e-01,1.697858e+09
512,4.733677e-01,1.690505e+09
1024,5.473190e-01,1.665344e+09
2048,6.273633e-01,1.531105e+09
4096,7.258713e-01,1.027772e+09
