Size,Gflops,Diff
4,1.280000e-01,0.000000e+00
8,1.024000e+00,0.000000e+00
16,4.096000e+00,0.000000e+00
32,7.281778e+00,0.000000e+00
64,7.281778e+00,0.000000e+00
128,7.332699e+00,0.000000e+00
256,3.300328e+00,0.000000e+00
512,3.082347e+00,0.000000e+00
1024,2.313466e+00,0.000000e+00
2048,9.490396e-01,0.000000e+00
4096,6.902739e-01,0.000000e+00
